t,a,aMRUV
0,5.02777777777778,14.1022012578616
0.166666666666667,5.44444444444444,14.1022012578616
0.333333333333333,5.94444444444444,14.1022012578616
0.5,4.79166666666667,14.1022012578616
0.666666666666667,4.01388888888889,14.1022012578616
0.833333333333333,5.84722222222222,14.1022012578616
1,9.13888888888889,14.1022012578616
1.16666666666667,11.9861111111111,14.1022012578616
1.33333333333333,13.9444444444444,14.1022012578616
1.5,16.1805555555556,14.1022012578616
1.66666666666667,18.8611111111111,14.1022012578616
1.83333333333333,21.9583333333333,14.1022012578616
2,23.4722222222222,14.1022012578616
2.16666666666667,24.4722222222222,14.1022012578616
2.33333333333333,11.5416666666667,14.1022012578616
2.5,-0.958333333333337,14.1022012578616
2.66666666666667,1.63888888888888,14.1022012578616
2.83333333333333,2.95833333333334,14.1022012578616
3,3.48611111111112,14.1022012578616
3.16666666666667,4.04166666666666,14.1022012578616
3.33333333333333,4.61111111111111,14.1022012578616
3.5,5.26388888888888,14.1022012578616
3.66666666666667,6.01388888888889,14.1022012578616
3.83333333333333,6.75,14.1022012578616
4,7.43055555555554,14.1022012578616
4.16666666666667,8.125,14.1022012578616
4.33333333333333,8.79166666666667,14.1022012578616
4.5,9.38888888888889,14.1022012578616
4.66666666666667,10.0138888888889,14.1022012578616
4.83333333333333,10.6111111111111,14.1022012578616
5,11.2083333333333,14.1022012578616
5.16666666666667,11.7638888888889,14.1022012578616
5.33333333333333,12.3194444444445,14.1022012578616
5.5,12.8888888888889,14.1022012578616
5.66666666666667,13.5,14.1022012578616
5.83333333333333,14.0972222222222,14.1022012578616
6,14.8055555555555,14.1022012578616
6.16666666666667,15.5694444444445,14.1022012578616
6.33333333333333,16.3333333333333,14.1022012578616
6.5,17.2083333333333,14.1022012578616
6.66666666666667,18.1527777777778,14.1022012578616
6.83333333333333,19.2916666666667,14.1022012578616
7,20.5138888888889,14.1022012578616
7.16666666666667,21.9166666666667,14.1022012578616
7.33333333333333,23.6666666666667,14.1022012578616
7.5,25.4027777777778,14.1022012578616
7.66666666666667,27.3888888888889,14.1022012578616
7.83333333333333,29.4444444444444,14.1022012578616
8,31.5416666666667,14.1022012578616
8.16666666666667,34.3888888888889,14.1022012578616
8.33333333333333,37.3888888888889,14.1022012578616
8.5,33.6111111111111,14.1022012578616
8.66666666666667,14.2222222222222,14.1022012578616
8.83333333333333,0,0
9,-0.0277777777777828,0
9.16666666666667,-0.0138888888889142,0
9.33333333333333,-0.0138888888888687,0
9.5,-0.0277777777777828,0
9.66666666666667,-0.0277777777777828,0
9.83333333333333,-0.0138888888888687,0
10,-0.0138888888889142,0
10.1666666666667,-0.0277777777777828,0
10.3333333333333,-0.0277777777777374,0
10.5,-0.0277777777777828,0
10.6666666666667,-0.0277777777777828,0
10.8333333333333,-0.0138888888888687,0
11,-0.0138888888889142,0
11.1666666666667,-0.0277777777777828,0
11.3333333333333,-0.0277777777777828,0
11.5,-0.0277777777777828,0
11.6666666666667,-0.0277777777777828,0
11.8333333333333,-0.0277777777778283,0
