t,h,hMRUV
0,0.4,0.4
0.166666666666667,1.2,1.46041666666667
0.333333333333333,2.5,3.55833333333333
0.5,4.4,6.69375
0.666666666666667,6.8,10.8666666666667
0.833333333333333,9.6,16.0770833333333
1,12.8,22.325
1.16666666666667,16.9,29.6104166666666
1.33333333333333,22,37.9333333333333
1.5,28.3,47.29375
1.66666666666667,35.7,57.6916666666666
1.83333333333333,44.2,69.1270833333333
2,53.9,81.5999999999999
2.16666666666667,64.7,95.1104166666666
2.33333333333333,76.4,109.658333333333
2.5,88.3,125.24375
2.66666666666667,100,141.866666666667
2.83333333333333,110,159.527083333333
3,121,178.225
3.16666666666667,130,197.960416666667
3.33333333333333,139,218.733333333333
3.5,148,240.54375
3.66666666666667,156,263.391666666667
3.83333333333333,163,287.277083333333
4,169,312.2
4.16666666666667,175,338.160416666666
4.33333333333333,180,365.158333333333
4.5,184,393.19375
4.66666666666667,188,422.266666666666
4.83333333333333,191,452.377083333333
5,194,483.525
5.16666666666667,196,515.710416666666
5.33333333333333,198,548.933333333333
5.5,200,583.19375
5.66666666666667,200,618.491666666666
5.83333333333333,201,654.827083333333
6,201,692.2
6.16666666666667,202,730.610416666666
6.33333333333333,201,770.058333333333
6.5,201,810.543749999999
6.66666666666667,201,852.066666666666
6.83333333333333,200,894.627083333333
7,200,938.224999999999
7.16666666666667,199,982.860416666666
7.33333333333333,199,1028.53333333333
7.5,198,1075.24375
7.66666666666667,198,1122.99166666667
7.83333333333333,198,1171.77708333333
8,198,1221.6
8.16666666666667,198,1272.46041666667
8.33333333333333,197,1324.35833333333
8.5,197,1377.29375
8.66666666666667,198,1431.26666666667
8.83333333333333,198,1486.27708333333
9,198,1542.325
9.16666666666667,198,1599.41041666667
9.33333333333333,198,1657.53333333333
9.5,198,1716.69375
9.66666666666667,199,1776.89166666667
9.83333333333333,199,1838.12708333333
10,199,1900.4
10.1666666666667,199,1963.71041666667
10.3333333333333,199,2028.05833333333
10.5,199,2093.44375
10.6666666666667,200,2159.86666666666
10.8333333333333,200,2227.32708333333
11,200,2295.825
11.1666666666667,200,2365.36041666667
11.3333333333333,200,2435.93333333333
11.5,200,2507.54375
11.6666666666667,201,2580.19166666666
11.8333333333333,201,2653.87708333333
